"ID_ekipa","Kratica","Ekipa","Stadion","Trener","Konferencija","Divizija"
1,ARZ       ,Arizona Cardinals,State Farm Stadium,Kliff Kingsbury,NFC       ,West      
2,ATL       ,Atlanta Falcons,Mercedes-Benz Stadium,Arthur Smith,NFC       ,South     
3,BLT       ,Baltimore Ravens,M&T Bank Stadium,John Harbaugh,AFC       ,North     
4,BUF       ,Buffalo Bills,Highmark Stadium,Sean McDermott,AFC       ,East      
5,CAR       ,Carolina Panthers,Bank of America Stadium,Matt Rhule,NFC       ,South     
6,CIN       ,Cincinnati Bengals,Paul Brown Stadium,Zac Taylor,AFC       ,North     
7,CHI       ,Chicago Bears,Soldier Field,Matt Eberflus,NFC       ,North     
8,CLV       ,Cleveland Browns,FirstEnergy Stadium,Kevin Stefanski,AFC       ,North     
9,DAL       ,Dallas Cowboys,AT&T Stadium,Mike McCarthy,NFC       ,East      
10,DEN       ,Denver Broncos,Empower Field at Mile High,Nathaniel Hackett,AFC       ,West      
11,DET       ,Detroit Lions,Ford Field,Dan Campbell,NFC       ,North     
12,HST       ,Houston Texans,NRG Stadium,Lovie Smith,AFC       ,South     
13,GB        ,Green Bay Packers,Lembeau Field,Matt LaFleur,NFC       ,North     
14,IND       ,Indianapolis Colts,Lucas Oil Stadium,Frank Reich,AFC       ,South     
15,LAR       ,Los Angeles Rams,SoFi Stadium,Sean McVay,NFC       ,West      
16,JAX       ,Jacksonville Jaguars,TIAA Bank Field,Doug Pederson,AFC       ,South     
17,MIN       ,Minnesota Vikings,U.S. Bank Stadium,Kevin OConnell,NFC       ,North     
18,KC        ,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,Andy Reid,AFC       ,West      
19,NO        ,New Orleans Saints,Caesars Superdome,Dennis Allen,NFC       ,South     
20,LVR       ,Las Vegas Raiders,Allegiant Stadium,Josh McDaniels,AFC       ,West      
21,NYG       ,New York Giants,MetLife Stadium,Brian Daboll,NFC       ,East      
22,LAC       ,Los Angeles Chargers,SoFi Stadium,Brandon Staley,AFC       ,West      
23,PHI       ,Philadelphia Eagles,Lincoln Financial Field,Nick Sirianni,NFC       ,East      
24,MIA       ,Miami Dolphins,Hard Rock Stadium,Mike McDaniel,AFC       ,East      
25,SF        ,San Francisco 49ers,Levis Stadium,Kyle Shanahan,NFC       ,West      
26,NE        ,New England Patriots,Gillette Stadium,Bill Belichick,AFC       ,East      
27,SEA       ,Seattle Seahawks,Lumen Field,Pete Carroll,NFC       ,West      
28,NYJ       ,New York Jets,MetLife Stadium,Robert Saleh,AFC       ,East      
29,TB        ,Tampa Bay Buccaneers,Raymond James Stadium,Todd Bowles,NFC       ,South     
30,PIT       ,Pittsburgh Steelers,Heinz Field,Mike Tomlin,AFC       ,North     
31,WAS       ,Washington Commanders,FedExField,Ron Rivera,NFC       ,East      
32,TEN       ,Tennessee Titans,Nissan Stadium,Mike Vrabel,AFC       ,South     
